"","EcoInt","score","n.count","per.count"
"8","Bycatch Target",1,18,0.0861244019138756
"9","Bycatch Other",1,63,0.301435406698565
"10","Habitat",1,141,0.674641148325359
"11","Climate",1,50,0.239234449760766
"12","Diet",1,55,0.263157894736842
"13","Predation",1,103,0.492822966507177
"14","Competition",1,11,0.0526315789473684
"15","Bycatch Target",2,27,0.129186602870813
"16","Bycatch Other",2,20,0.0956937799043062
"17","Habitat",2,10,0.0478468899521531
"18","Climate",2,24,0.114832535885167
"19","Diet",2,27,0.129186602870813
"20","Predation",2,23,0.110047846889952
"21","Competition",2,0,0
"22","Bycatch Target",3,84,0.401913875598086
"23","Bycatch Other",3,0,0
"24","Habitat",3,20,0.0956937799043062
"25","Climate",3,25,0.119617224880383
"26","Diet",3,0,0
"27","Predation",3,3,0.0143540669856459
"28","Competition",3,0,0
