Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab,Hab.comm,Clim.comm
Goliath Grouper,WEB,2011,0,SA-GM,SEFSC,KM,3,0,0,0,1,1,0,1,1,0,0,groundfish,0,habitat filter,temperature catchability
"Longspine thornyhead (California, Oregon, and Washington)",web,2011,NA,PFMC,NW-SW,KM,1,1,1,1,0,0,0,0,0,0,0,groundfish,0,NA,NA
deep sea red crab,RAM,2009,5,NEFMC,NEFSC,KM,0,0,0,0,0,0,0,0,0,0,0,Invert,1,NA,NA
"Greenstriped Rockfish Ca, OR, WA",RAM,2009,111,PFMC,NW-SW,KM,1,0,1,1,0,3,0,0,0,0,0,groundfish,0,NA,NA
Cowcod - Southern California,web,2011,181,PFMC,NW-SW,KM,1,0,2,2,1,3,0,1,1,1,1,groundfish,0,NA,NA
shortbelly rockfish pacific coast,web,2007,1154,PFMC,NW-SW,KM,1,0,1,3,1,3,0,0,0,0,0,forage,0,NA,NA
Yelloweye rockfish Pacific Coast,RAM,2011,1575,PFMC,NW-SW,KM,1,0,1,1,1,1,0,0,1,1,1,groundfish,0,NA,NA
Aurora Rockfish,web,2013,5636,PFMC,NW-SW,KM,1,0,1,1,1,3,0,0,0,0,0,groundfish,0,NA,NA
Greenspotted rockfish - Pacific Coast,web,2011,8674,PFMC,NW-SW,KM,1,0,0,0,0,1,0,0,0,0,0,groundfish,0,NA,NA
Canary rockfish - Pacific Coast,web,2007,17388,PFMC,NW-SW,KM,1,0,1,1,1,3,0,1,1,1,1,groundfish,0,NA,NA
Splitnose Rockfish,RAM,2009,20371,PFMC,NW-SW,KM,1,0,1,1,1,3,0,0,0,0,0,groundfish,0,NA,NA
California scorpionfish - Southern California,web,2005,28118,PFMC,NW-SW,KM,1,0,1,0,0,1,0,0,0,0,0,groundfish,0,NA,NA
