Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab
Longfin inshore squid Atlantic Coast,RAM,2010,26549977,MAFMC,NEFSC,KM,2.5,0,1,2,1,0,0,0,Not Overfished,Not Overfished,0,pelagic,Diet Lab
Northern Shortfin Squid Eastern Shelf,RAM,2006,1131530,MAFMC,NEFSC,KM,0,0,0,0,0,0,0,0,Not Overfished,Not Overfished,0,pelagic,Diet Lab
scup,RAM,2009,9669109,MAFMC,NEFSC,KM,0,0,0,0,0,0,0,1,Overfished,Not Overfished,0,forage,Diet Lab
Atlantic herring,web,2012,31850145,NEFMC,NEFSC,KM,1,0,0,3,3,0,0,0,Not Overfished,Not Overfished,0,forage,Diet Lab
Butterfish,RAM,2014,1661267,NEFMC,NEFSC,KM,3,0,1,3,0,3,0,0,Overfished,Overfished,0,forage,Diet Lab
Atka mackerel (BSAI),web,2014,15279265,NPFMC,AFSC,LK,2.5,1,2,2,1,3,1,0,Not Overfished,Not Overfished,0,forage,Diet Lab
shortbelly rockfish pacific coast,web,2007,1154,PFMC,NW-SW,KM,1,0,1,3,1,3,0,0,Not Overfished,Not Overfished,0,forage,No Diet Lab
Pacific Sardine,web,2014,14819775,PFMC,SWFSC,KM,1,0,0,0,3,3,0,0,Not Overfished,Not Overfished,0,forage,No Diet Lab
Gag Gulf of Mexico,WEB,2014,2830502,GMFMC,SEFSC,KM,0,0,1,2,3,3,0,0,Not Overfished,Overfished,0,groundfish,No Diet Lab
Gray Triggerfish - Gulf of Mexico,web,2006,78245,GMFMC,SEFSC,KM,1,0,0,0,0,3,0,0,Not Overfished,Overfished,1,groundfish,No Diet Lab
Red Grouper - Gulf of Mexico,web,2006,16221341,GMFMC,SEFSC,KM,3,0,0,1,1,3,0,1,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Red snapper Gulf of Mexico,RAM,2013,20492987,GMFMC,SEFSC,KM,1,0,1,1,2,3,1,1,Overfished,Overfished,1,groundfish,No Diet Lab
Tilefish Gulf of Mexico,RAM,2011,54701062,GMFMC,SEFSC,KM,2.5,0,0,0,1,2,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Vermilion Snapper - Gulf of Mexico,web,2006,4001792,GMFMC,SEFSC,KM,3,0,0,1,0,3,0,0,Overfished,Not Overfished,0,groundfish,No Diet Lab
Yellowedge grouper Gulf of Mexico,RAM,2011,3030992,GMFMC,SEFSC,KM,2.5,0,0,0,0,2,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
bluefish - atlantic coast,web,2005,2253518,MAFMC,NEFSC,KM,1,0,0,0,0,0,0,1,Overfished,Not Overfished,0,groundfish,Diet Lab
Golden Tilefish Mid-Atlantic Coast,RAM,2014,5873341,MAFMC,NEFSC,KM,2,0,0,0,2,2,1,1,Overfished,Not Overfished,0,groundfish,Diet Lab
Summer Flounder,web,2013,27444274,MAFMC,NEFSC,KM,1,0,1,1,2,3,0,0,Overfished,Not Overfished,0,groundfish,Diet Lab
Monkfish Gulf of Maine / Northern Georges Bank,RAM,2010,13586447,NE-Mid,NEFSC,KM,1,0,2,0,2,3,1,1,Overfished,Not Overfished,0,groundfish,Diet Lab
Monkfish Southern Georges Bank / Mid-Atlantic,RAM,2010,5137183,NE-Mid,NEFSC,KM,1,0,2,0,2,3,1,1,Overfished,Not Overfished,0,groundfish,Diet Lab
Spiny dogfish - Atlantic Coast,web,2006,2117991,NE-Mid,NEFSC,KM,1,0,1,0,2,3,0,1,Overfished,Not Overfished,0,groundfish,Diet Lab
Acadian Redfish Gulf of Maine/Georges Bank 2008,RAM,2008,4337163,NEFMC,NEFSC,LK,0,0,0,0,0,0,0,1,Overfished,Not Overfished,0,groundfish,Diet Lab
American Plaice - Gulf of Maine / George's Bank,web,2008,4688995,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,Overfished,Not Overfished,0,groundfish,Diet Lab
Atlantic cod Eastern Georges Bank,web,2013,10391037,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Atlantic cod Georges Bank,RAM,2013,10391037,NEFMC,NEFSC,KM,1,0,0,0,0,0,0,0,Overfished,Overfished,1,groundfish,Diet Lab
Atlantic cod Gulf of Maine,RAM,2013,10391037,NEFMC,NEFSC,KM,0,0,0,0,0,0,0,0,Not Overfished,Overfished,1,groundfish,Diet Lab
Atlantic Halibut - Northwestern Atlantic,web,2008,505826,NEFMC,NEFSC,KM,0,0,0,0,0,3,0,1,Overfished,Overfished,1,groundfish,Diet Lab
